2026-06-22 08:54:01.806 -05:00 [INF] <== GET /login/menu/modulos | Status: 200 | Duración: 138ms | Usuario: Anonymous | TraceId: 00-3d0eba8bacde711a71953e3206406891-a12432578eee11aa-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMGCM87OHSK:00000007","RequestPath":"/login/menu/modulos","ConnectionId":"0HNMGCM87OHSK","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-22 08:54:01.812 -05:00 [INF] ==> OPTIONS /maestro/tipo-general/active | Usuario: Anonymous | Empresa: N/A | IP: ::1 | TraceId: 00-afec541a007acf686085427ea64e0e47-5165fb8eec22ab42-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMGCM87OHSK:00000009","RequestPath":"/maestro/tipo-general/active","ConnectionId":"0HNMGCM87OHSK","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-22 08:54:01.817 -05:00 [INF] <== OPTIONS /maestro/tipo-general/active | Status: 204 | Duración: 4ms | Usuario: Anonymous | TraceId: 00-afec541a007acf686085427ea64e0e47-5165fb8eec22ab42-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMGCM87OHSK:00000009","RequestPath":"/maestro/tipo-general/active","ConnectionId":"0HNMGCM87OHSK","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-22 08:54:01.833 -05:00 [INF] ==> GET /maestro/tipo-general/active | Usuario: Anonymous | Empresa: N/A | IP: ::1 | TraceId: 00-b534a8415685de453b855fbe54b0244c-604e15531fa536ef-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMGCM87OHSK:0000000B","RequestPath":"/maestro/tipo-general/active","ConnectionId":"0HNMGCM87OHSK","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-22 08:54:01.872 -05:00 [INF] <== GET /maestro/tipo-general/active | Status: 200 | Duración: 39ms | Usuario: Anonymous | TraceId: 00-b534a8415685de453b855fbe54b0244c-604e15531fa536ef-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMGCM87OHSK:0000000B","RequestPath":"/maestro/tipo-general/active","ConnectionId":"0HNMGCM87OHSK","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-22 08:54:23.851 -05:00 [INF] ==> OPTIONS /seguridad/empresa-modulo | Usuario: Anonymous | Empresa: N/A | IP: ::1 | TraceId: 00-ce73bd4105b3e0f5a99e6f12f6a44626-6d35dee77bab086d-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMGCM87OHSK:0000000D","RequestPath":"/seguridad/empresa-modulo","ConnectionId":"0HNMGCM87OHSK","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-22 08:54:23.856 -05:00 [INF] <== OPTIONS /seguridad/empresa-modulo | Status: 204 | Duración: 4ms | Usuario: Anonymous | TraceId: 00-ce73bd4105b3e0f5a99e6f12f6a44626-6d35dee77bab086d-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMGCM87OHSK:0000000D","RequestPath":"/seguridad/empresa-modulo","ConnectionId":"0HNMGCM87OHSK","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-22 08:54:23.863 -05:00 [INF] ==> GET /seguridad/empresa-modulo | Usuario: Anonymous | Empresa: N/A | IP: ::1 | TraceId: 00-b5b11e4d8432f4b19bb0144d78fbb454-4e022700a6d6dde3-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMGCM87OHSK:0000000F","RequestPath":"/seguridad/empresa-modulo","ConnectionId":"0HNMGCM87OHSK","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-22 08:54:23.879 -05:00 [INF] <== GET /seguridad/empresa-modulo | Status: 200 | Duración: 16ms | Usuario: Anonymous | TraceId: 00-b5b11e4d8432f4b19bb0144d78fbb454-4e022700a6d6dde3-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMGCM87OHSK:0000000F","RequestPath":"/seguridad/empresa-modulo","ConnectionId":"0HNMGCM87OHSK","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-22 08:54:26.889 -05:00 [INF] ==> OPTIONS /maestro/tipo-particular/modules/groups | Usuario: Anonymous | Empresa: N/A | IP: ::1 | TraceId: 00-ba89b9e63acdf81a581fe02f8717a40c-0bb1e9ab1a168bd1-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMGCM87OHSK:00000011","RequestPath":"/maestro/tipo-particular/modules/groups","ConnectionId":"0HNMGCM87OHSK","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-22 08:54:26.905 -05:00 [INF] <== OPTIONS /maestro/tipo-particular/modules/groups | Status: 204 | Duración: 15ms | Usuario: Anonymous | TraceId: 00-ba89b9e63acdf81a581fe02f8717a40c-0bb1e9ab1a168bd1-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMGCM87OHSK:00000011","RequestPath":"/maestro/tipo-particular/modules/groups","ConnectionId":"0HNMGCM87OHSK","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-22 08:54:26.921 -05:00 [INF] ==> GET /maestro/tipo-particular/modules/groups | Usuario: Anonymous | Empresa: N/A | IP: ::1 | TraceId: 00-90b4d7df282748dda28c4203c56ea5da-d709e450218049d2-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMGCM87OHSK:00000013","RequestPath":"/maestro/tipo-particular/modules/groups","ConnectionId":"0HNMGCM87OHSK","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-22 08:54:26.948 -05:00 [INF] <== GET /maestro/tipo-particular/modules/groups | Status: 200 | Duración: 27ms | Usuario: Anonymous | TraceId: 00-90b4d7df282748dda28c4203c56ea5da-d709e450218049d2-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMGCM87OHSK:00000013","RequestPath":"/maestro/tipo-particular/modules/groups","ConnectionId":"0HNMGCM87OHSK","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-22 08:54:28.097 -05:00 [INF] ==> OPTIONS /maestro/tipo-particular/all | Usuario: Anonymous | Empresa: N/A | IP: ::1 | TraceId: 00-2c1d3ed3dbd791b1403175a9b17d77ef-0b09ceb4a3d4e20c-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMGCM87OHSK:00000015","RequestPath":"/maestro/tipo-particular/all","ConnectionId":"0HNMGCM87OHSK","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-22 08:54:28.112 -05:00 [INF] <== OPTIONS /maestro/tipo-particular/all | Status: 204 | Duración: 15ms | Usuario: Anonymous | TraceId: 00-2c1d3ed3dbd791b1403175a9b17d77ef-0b09ceb4a3d4e20c-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMGCM87OHSK:00000015","RequestPath":"/maestro/tipo-particular/all","ConnectionId":"0HNMGCM87OHSK","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-22 08:54:28.122 -05:00 [INF] ==> GET /maestro/tipo-particular/all | Usuario: Anonymous | Empresa: N/A | IP: ::1 | TraceId: 00-bfa7a620ac3712637f9ab44c2b8ea9f7-1e3d3578c9b31ace-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMGCM87OHSK:00000017","RequestPath":"/maestro/tipo-particular/all","ConnectionId":"0HNMGCM87OHSK","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-22 08:54:28.197 -05:00 [INF] <== GET /maestro/tipo-particular/all | Status: 200 | Duración: 74ms | Usuario: Anonymous | TraceId: 00-bfa7a620ac3712637f9ab44c2b8ea9f7-1e3d3578c9b31ace-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMGCM87OHSK:00000017","RequestPath":"/maestro/tipo-particular/all","ConnectionId":"0HNMGCM87OHSK","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-22 08:54:31.872 -05:00 [INF] ==> OPTIONS /maestro/tipo-particular/all | Usuario: Anonymous | Empresa: N/A | IP: ::1 | TraceId: 00-cb554aed7be58ac43142a3e5d49ac5bf-95a0efaf0dfbe2e7-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMGCM87OHSK:00000019","RequestPath":"/maestro/tipo-particular/all","ConnectionId":"0HNMGCM87OHSK","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-22 08:54:31.880 -05:00 [INF] <== OPTIONS /maestro/tipo-particular/all | Status: 204 | Duración: 8ms | Usuario: Anonymous | TraceId: 00-cb554aed7be58ac43142a3e5d49ac5bf-95a0efaf0dfbe2e7-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMGCM87OHSK:00000019","RequestPath":"/maestro/tipo-particular/all","ConnectionId":"0HNMGCM87OHSK","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-22 08:54:31.895 -05:00 [INF] ==> GET /maestro/tipo-particular/all | Usuario: Anonymous | Empresa: N/A | IP: ::1 | TraceId: 00-ec100ae3a6e505e6f9ea471edb46c113-23e32cce99b63bb9-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMGCM87OHSK:0000001B","RequestPath":"/maestro/tipo-particular/all","ConnectionId":"0HNMGCM87OHSK","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-22 08:54:31.908 -05:00 [INF] <== GET /maestro/tipo-particular/all | Status: 200 | Duración: 13ms | Usuario: Anonymous | TraceId: 00-ec100ae3a6e505e6f9ea471edb46c113-23e32cce99b63bb9-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMGCM87OHSK:0000001B","RequestPath":"/maestro/tipo-particular/all","ConnectionId":"0HNMGCM87OHSK","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-22 08:54:33.613 -05:00 [INF] ==> OPTIONS /maestro/tipo-particular/all | Usuario: Anonymous | Empresa: N/A | IP: ::1 | TraceId: 00-36880a521fe189a5e8d6e952ad5ee315-566477497353d5b0-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMGCM87OHSK:0000001D","RequestPath":"/maestro/tipo-particular/all","ConnectionId":"0HNMGCM87OHSK","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-22 08:54:33.624 -05:00 [INF] <== OPTIONS /maestro/tipo-particular/all | Status: 204 | Duración: 10ms | Usuario: Anonymous | TraceId: 00-36880a521fe189a5e8d6e952ad5ee315-566477497353d5b0-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMGCM87OHSK:0000001D","RequestPath":"/maestro/tipo-particular/all","ConnectionId":"0HNMGCM87OHSK","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-22 08:54:33.633 -05:00 [INF] ==> GET /maestro/tipo-particular/all | Usuario: Anonymous | Empresa: N/A | IP: ::1 | TraceId: 00-edc801b8785fda12c01efcf83b75b469-0ee1bcc195bdd434-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMGCM87OHSK:0000001F","RequestPath":"/maestro/tipo-particular/all","ConnectionId":"0HNMGCM87OHSK","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-22 08:54:33.644 -05:00 [INF] <== GET /maestro/tipo-particular/all | Status: 200 | Duración: 10ms | Usuario: Anonymous | TraceId: 00-edc801b8785fda12c01efcf83b75b469-0ee1bcc195bdd434-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMGCM87OHSK:0000001F","RequestPath":"/maestro/tipo-particular/all","ConnectionId":"0HNMGCM87OHSK","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-22 08:54:48.867 -05:00 [INF] ==> OPTIONS /maestro/tipo-particular | Usuario: Anonymous | Empresa: N/A | IP: ::1 | TraceId: 00-052bb95d415349a5679e9996b3ed3eda-409bff36a24124ff-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMGCM87OHSK:00000021","RequestPath":"/maestro/tipo-particular","ConnectionId":"0HNMGCM87OHSK","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-22 08:54:48.883 -05:00 [INF] <== OPTIONS /maestro/tipo-particular | Status: 204 | Duración: 16ms | Usuario: Anonymous | TraceId: 00-052bb95d415349a5679e9996b3ed3eda-409bff36a24124ff-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMGCM87OHSK:00000021","RequestPath":"/maestro/tipo-particular","ConnectionId":"0HNMGCM87OHSK","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-22 08:54:48.894 -05:00 [INF] ==> GET /maestro/tipo-particular | Usuario: Anonymous | Empresa: N/A | IP: ::1 | TraceId: 00-de4dd89c8e05d1f367520ed55a2abbcd-58c8d7f7a816d237-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMGCM87OHSK:00000023","RequestPath":"/maestro/tipo-particular","ConnectionId":"0HNMGCM87OHSK","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-22 08:54:48.909 -05:00 [INF] <== GET /maestro/tipo-particular | Status: 200 | Duración: 15ms | Usuario: Anonymous | TraceId: 00-de4dd89c8e05d1f367520ed55a2abbcd-58c8d7f7a816d237-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMGCM87OHSK:00000023","RequestPath":"/maestro/tipo-particular","ConnectionId":"0HNMGCM87OHSK","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-22 08:54:48.926 -05:00 [INF] ==> OPTIONS /maestro/tipo-particular/children | Usuario: Anonymous | Empresa: N/A | IP: ::1 | TraceId: 00-8940df7c235acbe67922d0dec224b400-e0f1179101d716ae-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMGCM87OHSK:00000025","RequestPath":"/maestro/tipo-particular/children","ConnectionId":"0HNMGCM87OHSK","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-22 08:54:48.937 -05:00 [INF] <== OPTIONS /maestro/tipo-particular/children | Status: 204 | Duración: 11ms | Usuario: Anonymous | TraceId: 00-8940df7c235acbe67922d0dec224b400-e0f1179101d716ae-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMGCM87OHSK:00000025","RequestPath":"/maestro/tipo-particular/children","ConnectionId":"0HNMGCM87OHSK","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-22 08:54:48.951 -05:00 [INF] ==> GET /maestro/tipo-particular/children | Usuario: Anonymous | Empresa: N/A | IP: ::1 | TraceId: 00-94cbd2543d92f1651e7897bab04f74bd-a94eb7a0de3f42a1-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMGCM87OHSK:00000027","RequestPath":"/maestro/tipo-particular/children","ConnectionId":"0HNMGCM87OHSK","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-22 08:54:48.969 -05:00 [INF] <== GET /maestro/tipo-particular/children | Status: 200 | Duración: 17ms | Usuario: Anonymous | TraceId: 00-94cbd2543d92f1651e7897bab04f74bd-a94eb7a0de3f42a1-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMGCM87OHSK:00000027","RequestPath":"/maestro/tipo-particular/children","ConnectionId":"0HNMGCM87OHSK","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-22 08:54:54.986 -05:00 [INF] ==> OPTIONS /maestro/tipo-particular | Usuario: Anonymous | Empresa: N/A | IP: ::1 | TraceId: 00-088863c0023719d42f4c3ebd5e8aa30b-e2a2a088b7d73bd8-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMGCM87OHSK:00000029","RequestPath":"/maestro/tipo-particular","ConnectionId":"0HNMGCM87OHSK","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-22 08:54:54.999 -05:00 [INF] <== OPTIONS /maestro/tipo-particular | Status: 204 | Duración: 13ms | Usuario: Anonymous | TraceId: 00-088863c0023719d42f4c3ebd5e8aa30b-e2a2a088b7d73bd8-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMGCM87OHSK:00000029","RequestPath":"/maestro/tipo-particular","ConnectionId":"0HNMGCM87OHSK","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-22 08:54:55.010 -05:00 [INF] ==> PUT /maestro/tipo-particular | Usuario: Anonymous | Empresa: N/A | IP: ::1 | TraceId: 00-d0801c442ae5dac9100f17b5b4d18b38-887816bdbb1427c2-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMGCM87OHSK:0000002B","RequestPath":"/maestro/tipo-particular","ConnectionId":"0HNMGCM87OHSK","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-22 08:54:55.044 -05:00 [INF] <== PUT /maestro/tipo-particular | Status: 200 | Duración: 34ms | Usuario: Anonymous | TraceId: 00-d0801c442ae5dac9100f17b5b4d18b38-887816bdbb1427c2-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMGCM87OHSK:0000002B","RequestPath":"/maestro/tipo-particular","ConnectionId":"0HNMGCM87OHSK","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
